"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2001,"Violence against civilians","Civilians (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Lofa County",7.91,-10,618490,20010619,86.9,"NZEREKORE",-8.3,7.75,"M"
2001,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20011205,86.9,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Arthington",6.51,-10.68,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Arthington",6.51,-10.68,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Arthington",6.51,-10.68,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","ULIMO J","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Upper Mecca",6.82,-10.57,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Upper Mecca",6.82,-10.57,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","ULIMO J","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Upper Mecca",6.82,-10.57,618490,20020527,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20020814,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20020814,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20020814,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Suehn",6.61,-10.71,618490,20020814,86.9,"NZEREKORE",-8.3,7.75,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Tubmanburg",6.86,-10.82,618490,20020814,86.9,"NZEREKORE",-8.3,7.75,"M"
2003,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,20030827,86.9,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (2003-2005)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20031014,86.9,"NZEREKORE",-8.3,7.75,"M"
2005,"Riots","Protesters","","Liberia","Nimba","Ganta",7.23,-8.98,618490,20050518,86.9,"NZEREKORE",-8.3,7.75,"M"
2005,"Riots","","Protesters (Guinea)","Guinea","Kindia","Kindia",10.06,-12.85,618180,20051115,86.9,"KINDIA",-12.86,10.05,"M"
2005,"Riots","Protesters","","Liberia","Montserrado","Congo Town",6.26,-10.73,656600,20051220,86.9,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Riots","Protesters","Police Forces of Liberia (2005-)","Liberia","Bong","Monrovia",6.67,-9.67,656600,20060825,86.9,"ROBERTS FIELD",-10.35,6.25,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080530,86.9,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080530,86.9,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Unidentified Armed Group (Liberia)","Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Beyero",7.76,-9.18,655480,20001205,87.09,"MAN",-7.51,7.38,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Sierra Leone)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Sierra Leone)","Guinea","Nzerekore","Kambado",9.05,-10.36,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Sierra Leone)","Guinea","Nzerekore","Kambado",9.05,-10.36,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Guinea)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Sierra Leone)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20010103,87.09,"FARANAH/BADALA",-10.75,10.03,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Montserrado","Virginia",6.41,-10.76,618560,20030605,87.09,"LUNGI",-13.19,8.61,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Sinoe","Bafu",5.17,-9.27,655920,20031029,87.09,"TABOU",-7.36,4.41,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Sinoe","Bafu",5.17,-9.27,655920,20031102,87.09,"TABOU",-7.36,4.41,"M"
2002,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbarnga",7,-9.47,655480,20020513,87.3,"MAN",-7.51,7.38,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Sinoe","Bafu",5.17,-9.27,655920,20031030,87.3,"TABOU",-7.36,4.41,"M"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kankan","Tekoulo",11.02,-11.27,618200,20001120,87.4,"MAMOU",-12.08,10.36,"M"
2001,"Riots","Protesters (Guinea)","","Guinea","Labe","Labe",11.31,-12.27,616990,20010723,87.4,"KEDOUGOU",-12.21,12.56,"C"
2001,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Zorzor",7.78,-9.43,618490,20011217,87.4,"NZEREKORE",-8.3,7.75,"M"
2003,"Riots","Protesters (Gambia)","","Gambia","Banjul","Banjul",13.45,-16.57,617010,20030509,87.4,"BANJUL/YUNDUM",-16.63,13.19,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","River Cess County","Yapa",5.71,-9.61,618490,20031101,87.4,"NZEREKORE",-8.3,7.75,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Grand Bassa","Topo",6.03,-9.89,618490,20031101,87.4,"NZEREKORE",-8.3,7.75,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Grand Bassa","Topo",6.03,-9.89,618490,20031101,87.4,"NZEREKORE",-8.3,7.75,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","River Cess County","Yapa",5.71,-9.61,618490,20031101,87.4,"NZEREKORE",-8.3,7.75,"M"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Montserrado","Bensonville",6.44,-10.6,618490,20031113,87.4,"NZEREKORE",-8.3,7.75,"M"
2006,"Riots","Presidential Guard (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20060612,87.59,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1997,"Battles","Military Forces of Gambia (1994-)","Unidentified Armed Group (Gambia)","Gambia","Western","Kartung",13.09,-16.76,617010,19970721,87.8,"BANJUL/YUNDUM",-16.63,13.19,"M"
1998,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Sanniquellie",7.36,-8.71,655480,19980626,87.8,"MAN",-7.51,7.38,"M"
1998,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,19981218,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1998,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,19981218,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1998,"Riots","Union for the New Republic and the Party for Renewal and Progress","PUP: Unity and Progress Party","Guinea","Conakry","Conakry",9.5,-13.71,618320,19981218,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1998,"Riots","Union for the New Republic and the Party for Renewal and Progress","PUP: Unity and Progress Party","Guinea","Conakry","Conakry",9.5,-13.71,618320,19981218,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
1999,"Violence against civilians","Civilians (Guinea)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,19990516,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Nzerekore","Dendou",9.27,-10.35,618330,19990516,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
1999,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,19991218,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Mutiny of Military Forces of Gambia (1994-)","Military Forces of Gambia (1994-)","Gambia","Banjul","Banjul",13.45,-16.57,617010,20000115,87.8,"BANJUL/YUNDUM",-16.63,13.19,"M"
2000,"Riots","Protesters (Guinea)","Police Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20000117,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Pamalap",9.18,-12.97,618320,20000910,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Forecariah",9.43,-13.09,618320,20000929,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Khorera",10.97,-14.3,618320,20000929,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Forecariah",9.43,-13.09,618320,20000929,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Civilians (Guinea)","Unidentified Armed Group (Liberia)","Guinea","Kindia","Khorera",10.97,-14.3,618320,20000929,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","Military Forces of Guinea (1984-2008)","RUF: Revolutionary United Front of Sierra Leone","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001003,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001003,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Sierra Leone)","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001003,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","RUF: Revolutionary United Front of Sierra Leone","Civilians (Guinea)","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001003,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Military Forces of Guinea (1984-2008)","Civilians (Guinea)","Guinea","Kindia","Farmoriah",9.27,-13.02,618320,20001003,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Forecariah",9.43,-13.09,618320,20001105,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Guinea (1984-2008)","Guinea","Kindia","Forecariah",9.43,-13.09,618320,20001106,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Bong","Gbatala",6.88,-9.67,618490,20001116,87.8,"NZEREKORE",-8.3,7.75,"M"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Lofa County",7.91,-10,618490,20001116,87.8,"NZEREKORE",-8.3,7.75,"M"
2000,"Violence against civilians","Civilians (Liberia)","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618490,20001116,87.8,"NZEREKORE",-8.3,7.75,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Foya",8.27,-10.31,618330,20010519,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Lofa County","Foya",8.27,-10.31,618330,20010519,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2001,"Violence against civilians","Civilians (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","","Belle Baloma",7.57,-9.97,655480,20011127,87.8,"MAN",-7.51,7.38,"M"
2001,"Violence against civilians","Civilians (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","","Belle Fassamah",7.52,-9.99,655480,20011127,87.8,"MAN",-7.51,7.38,"M"
2002,"Riots","Protesters (Gambia)","","Gambia","Banjul","Banjul",13.45,-16.57,617010,20020729,87.8,"BANJUL/YUNDUM",-16.63,13.19,"M"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Bomi County","Brewersville",6.42,-10.78,618560,20030114,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Sasstown","Wesa",4.81,-8.33,655920,20030131,87.8,"TABOU",-7.36,4.41,"M"
2003,"Riots","Police Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20030308,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Zwedru",6.07,-8.13,655920,20030330,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Zwedru",6.07,-8.13,655920,20030330,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Grand Gedeh","Zwedru",6.07,-8.13,655920,20030330,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Bomi County","Brewersville",6.42,-10.78,618560,20030404,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Bomi County","Brewersville",6.42,-10.78,618560,20030409,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030415,87.8,"DALOA",-6.46,6.86,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030415,87.8,"DALOA",-6.46,6.86,"M"
2003,"Battles","RUF: Revolutionary United Front of Sierra Leone","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20030511,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","River Gee","Fish Town",5.25,-7.88,655920,20030513,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Montserrado","Sasstown Louisiana",6.42,-10.69,618560,20030515,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030515,87.8,"DALOA",-6.46,6.86,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Maryland","Harper",4.38,-7.71,655920,20030518,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Maryland","Harper",4.38,-7.71,655920,20030518,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","Maryland","Harper",4.38,-7.71,655920,20030518,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","MODEL: Movement for Democracy in Liberia","Military Forces of Liberia (1997-2003)","Liberia","","Cestos Point",5.42,-9.59,655920,20030523,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","Military Forces of Liberia (1997-2003)","MODEL: Movement for Democracy in Liberia","Liberia","Maryland","Harper",4.38,-7.71,655920,20030523,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Bomi County","Klay",6.69,-10.87,618560,20030622,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,20031011,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2003,"Violence against civilians","LURD: Liberians for Reconciliation and Democracy","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20031025,87.8,"LUNGI",-13.19,8.61,"M"
2003,"Violence against civilians","MODEL: Movement for Democracy in Liberia","Civilians (Liberia)","Liberia","Sinoe","Bafu",5.17,-9.27,655920,20031103,87.8,"TABOU",-7.36,4.41,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","UNMIL: United Nations Mission in Liberia","Liberia","Grand Bassa","Buchanan",5.88,-10.04,618490,20031229,87.8,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","UNMIL: United Nations Mission in Liberia","Liberia","Grand Bassa","Buchanan",5.88,-10.04,618490,20031229,87.8,"NZEREKORE",-8.3,7.75,"M"
2003,"Battles","LURD: Liberians for Reconciliation and Democracy","UNMIL: United Nations Mission in Liberia","Liberia","Grand Bassa","Buchanan",5.88,-10.04,618490,20031229,87.8,"NZEREKORE",-8.3,7.75,"M"
2004,"Riots","Military Forces of Liberia (1997-2003)","","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20041113,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2004,"Violence against civilians","Military Forces of Liberia (1997-2003)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20041113,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2004,"Riots","Military Forces of Liberia (1997-2003)","ECOMOG: Economic Community of West African States Monitoring Group (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20041221,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2005,"Battles","Military Forces of Guinea (1984-2008)","Unidentified Armed Group (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20050119,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2005,"Violence against civilians","Police Forces of Guinea (1984-2008)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20050119,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2005,"Riots","CDC supporters","","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20051010,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Violence against civilians","UNMIL: United Nations Mission in Liberia","Civilians (Liberia)","Liberia","Bong","Monrovia",6.67,-9.67,656600,20060511,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Violence against civilians","UNMIL: United Nations Mission in Liberia","Civilians (Liberia)","Liberia","Bong","Monrovia",6.67,-9.67,656600,20060513,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2006,"Battles","UNMIL: United Nations Mission in Liberia","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,618490,20060515,87.8,"NZEREKORE",-8.3,7.75,"M"
2006,"Battles","Armed Men Ex-Liberian Forces (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Nimba","Ganta",7.23,-8.98,618490,20060515,87.8,"NZEREKORE",-8.3,7.75,"M"
2006,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20060613,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2006,"Violence against civilians","Civilians (Liberia)","LURD: Liberians for Reconciliation and Democracy","Liberia","Grand Gedeh","Zwedru",6.07,-8.13,618490,20060707,87.8,"NZEREKORE",-8.3,7.75,"M"
2006,"Battles","Police Forces of Liberia (2005-)","Unidentified Armed Group (Liberia)","Liberia","Montserrado","Harbel",6.28,-10.35,656600,20061102,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2007,"Riots","Protesters","UNMIL: United Nations Mission in Liberia","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20070207,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2007,"Riots","UNMIL: United Nations Mission in Liberia","Protesters (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20070423,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Kissidougou","Kissidougou",9.18,-10.1,618330,20070509,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Faranah","Faranah",10.02,-10.72,618330,20070509,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20070509,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2007,"Riots","","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Nzerekore","Guekedou",8.75,-10.3,618330,20070509,87.8,"FARANAH/BADALA",-10.75,10.03,"M"
2007,"Violence against civilians","Police Forces of Liberia (2005-)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,656600,20071102,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2008,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Monrovia",6.3,-10.8,618560,20080401,87.8,"LUNGI",-13.19,8.61,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080527,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","Mutiny of Military Forces of Guinea (1984-2008)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20080527,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Riots","Police Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20081102,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Violence against civilians","Unidentified Armed Group (Liberia)","Civilians (Liberia)","Liberia","Montserrado","Harbel",6.28,-10.35,656600,20081209,87.8,"ROBERTS FIELD",-10.35,6.25,"M"
2008,"Riots","Military Forces of Guinea (1984-2008)","Protesters (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20081219,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Battles","Military Forces of Guinea (1984-2008)","CNDD: National Council for Democracy and Development","Guinea","Conakry","Conakry",9.5,-13.71,618320,20081223,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2008,"Riots","","CNDD: National Council for Democracy and Development","Guinea","Conakry","Conakry",9.5,-13.71,618320,20081223,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090101,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090126,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090313,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090313,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Violence against civilians","Military Forces of Guinea (2008-)","Civilians (Guinea)","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090508,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Riots","Protesters (Guinea)","","Guinea","Conakry","Conakry",9.5,-13.71,618320,20090608,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
2009,"Battles","Military Forces of Guinea (2008-)","Mutiny of Military Forces of Guinea (2008-)","Guinea","Kindia","Kindia",10.06,-12.85,618320,20090610,87.8,"CONAKRY/GBESSIA",-13.61,9.56,"M"
